,topic,page_num,post_num,text,join_date,post_date,num_likes,pred_label,true_label
1664,Great Online Deals of 2020,1,0,they sent me an “item shipped” email.,Aug 2014,Mar 3 2020,1,1,
1665,Great Online Deals of 2020,1,1,yes,Apr 2019,Mar 3 2020,1,1,1.0
1666,Great Online Deals of 2020,1,2,if you support backcountry still~ word on the street is that they are getting a shipment of totems in @ all sizes (maybe other retailers as well),Apr 2014,Mar 3 2020,3,1,1.0
1667,Great Online Deals of 2020,1,2,think they will list for $82 bucks and may be stackable with other discounts,Apr 2014,Mar 3 2020,3,1,1.0
1668,Great Online Deals of 2020,1,2,rock and snow will likely match their prices and you can support the little guy.,Apr 2014,Mar 3 2020,3,1,1.0
1669,Great Online Deals of 2020,1,3,i bought a totem cam from campsaver and the order went through~ but they cancelled it on me since they ran out of stock.,Jun 2018,Mar 3 2020,4,1,1.0
1670,Great Online Deals of 2020,1,4,wc friends set - 0.4 to 3 ~$304 shipped at backcountrygear.com,Mar 2019,Mar 3 2020,1,1,1.0
1671,Great Online Deals of 2020,1,5,ordered a 1.8,Sep 2016,Mar 3 2020,0,1,1.0
1672,Great Online Deals of 2020,1,5,order processing.,Sep 2016,Mar 3 2020,0,0,
1673,Great Online Deals of 2020,1,6,ordered a 1.8,Nov 2017,Mar 3 2020,0,1,1.0
1674,Great Online Deals of 2020,1,6,order processing.  i ordered the 1.8 last night and had it canceled.,Nov 2017,Mar 3 2020,0,1,
1675,Great Online Deals of 2020,1,7,now it says totem discontinued..,Jul 2016,Mar 3 2020,1,1,1.0
1676,Great Online Deals of 2020,1,7,totem cams,Jul 2016,Mar 3 2020,1,1,1.0
1677,Great Online Deals of 2020,1,7,they sure do know how to make a soul laugh,Jul 2016,Mar 3 2020,1,1,1.0
1678,Great Online Deals of 2020,1,7,: -)https://www.campsaver.com/totem-cam.html,Jul 2016,Mar 3 2020,1,1,1.0
1679,Great Online Deals of 2020,1,8,"with mountaingear going out of business it's hard to find good deals on shoes in a ""normal"" size~ but here are some bd aspect shoes that are 50% in size 12~ someone should pick these up",Nov 2011,Mar 3 2020,0,1,1.0
1680,Great Online Deals of 2020,1,8,price 75 bucks +shipping,Nov 2011,Mar 3 2020,0,1,1.0
1681,Great Online Deals of 2020,1,8,​link​​​,Nov 2011,Mar 3 2020,0,1,1.0
1682,Great Online Deals of 2020,1,9,it must be true....campsaver says so!  buy buy buy from marc...hurry!,Apr 2014,Mar 3 2020,0,1,
1683,Great Online Deals of 2020,1,10,mountain hardwear kor strata alpine hoody~ msrp $280~ 71% off at sierrasierra.com/mountain-hardwea…,Jan 2012,Mar 3 2020,1,1,1.0
1684,Great Online Deals of 2020,1,11,piggybacking on sierra deals~ couple of size l waldo's left..,Aug 2017,Mar 3 2020,1,1,1.0
1685,Great Online Deals of 2020,1,11,$43 but shipping/tax will bump that up a bit~ unless you hit the $89 free ship mark,Aug 2017,Mar 3 2020,1,1,1.0
1686,Great Online Deals of 2020,1,11,or buy both and a biner~ sell the second here for $55~ hahahttps://www.sierra.com/metolius-waldo-climbing-harness~p~701xx/ re: shaniac below- not sure that the coupons work on closeout items~ but can't hurt to try...,Aug 2017,Mar 3 2020,1,1,1.0
1687,Great Online Deals of 2020,1,12,or grab one of the 25% off coupons from the stp thread,Jul 2016,Mar 3 2020,0,1,1.0
1688,Great Online Deals of 2020,1,14,link is broken but they can be found,Jun 2015,Mar 4 2020,0,1,1.0
1689,Great Online Deals of 2020,1,14,what a deal!,Jun 2015,Mar 4 2020,0,1,1.0
1690,Great Online Deals of 2020,1,15,link is broken but they can be found,Oct 2017,Mar 4 2020,1,1,1.0
1691,Great Online Deals of 2020,1,15,what a deal! they also have the regular ul mastercams for $42 each,Oct 2017,Mar 4 2020,1,1,1.0
1692,Great Online Deals of 2020,1,15,10% off coupon available if you sign up~ i tested it in the cart but didn't check out with it.,Oct 2017,Mar 4 2020,1,1,1.0
1693,Great Online Deals of 2020,1,16,they also have the regular ul mastercams for $42 each,Oct 2010,Mar 4 2020,0,1,1.0
1694,Great Online Deals of 2020,1,16,10% off coupon available if you sign up~ i tested it in the cart but didn't check out with it,Oct 2010,Mar 4 2020,0,1,1.0
1695,Great Online Deals of 2020,1,16,camper10 works for 10% off,Oct 2010,Mar 4 2020,0,1,1.0
1696,Great Online Deals of 2020,1,17,+1 for gingoflojo,Apr 2018,Mar 4 2020,2,1,1.0
1697,Great Online Deals of 2020,1,17,my rope just arrived in original packaging with a bluewater sticker in the box.,Apr 2018,Mar 4 2020,2,1,
1698,Great Online Deals of 2020,1,18,the campsaver outlet also has fixe alien revolution's at 30% off (coupon above probably applies also) in case anyone is looking for them.,Mar 2016,Mar 4 2020,5,1,1.0
1699,Great Online Deals of 2020,1,19,"10% off at epictv store with ""yes10"" and it must be in uppercase letters to be accepted",Nov 2009,Mar 5 2020,3,1,1.0
1700,Great Online Deals of 2020,2,1,score! i'm set but others need to stock up on ropes~ etc,Oct 2010,Mar 5 2020,1,1,1.0
1701,Great Online Deals of 2020,2,2,coupon worked,Jun 2014,Mar 5 2020,0,1,1.0
1702,Great Online Deals of 2020,2,2,picked up 3 for 37% off with free shipping,Jun 2014,Mar 5 2020,0,1,1.0
1703,Great Online Deals of 2020,2,2,pretty good!,Jun 2014,Mar 5 2020,0,1,2.0
1704,Great Online Deals of 2020,2,3,patagonia nano puffs in grey~ $75 in cart:rei.com/product/102404/pata…;cm_mmc=aff_al-_-2467-_-2906-_-na&avad=2906_a1994665d,Jun 2017,Mar 5 2020,1,1,1.0
1705,Great Online Deals of 2020,2,4,camper10 works for 10% off coupon seems to apply when you try to checkout,Aug 2017,Mar 5 2020,2,1,1.0
1706,Great Online Deals of 2020,2,4,i made it to payment page and it took,Aug 2017,Mar 5 2020,2,1,1.0
1707,Great Online Deals of 2020,2,4,$232 for 6 cams~ $38/cam,Aug 2017,Mar 5 2020,2,1,1.0
1708,Great Online Deals of 2020,2,4,shame i need more cams like a hole in the head.,Aug 2017,Mar 5 2020,2,0,
1709,Great Online Deals of 2020,2,5,coupon seems to apply when you try to checkout,Oct 2017,Mar 6 2020,4,1,1.0
1710,Great Online Deals of 2020,2,5,i made it to payment page and it took,Oct 2017,Mar 6 2020,4,1,1.0
1711,Great Online Deals of 2020,2,5,$232 for 6 cams~ $38/cam,Oct 2017,Mar 6 2020,4,1,1.0
1712,Great Online Deals of 2020,2,5,shame i need more cams like a hole in the head.  if only we could unsubscribe from this thread~ saving our money and missing out on $38 cams.,Oct 2017,Mar 6 2020,4,1,
1713,Great Online Deals of 2020,2,6,if only we could unsubscribe from this thread~ saving our money and missing out on $38 cams.  but did i really save money if i've had a double set of totems~ still with tags on~ sitting in a dark closet for a couple of years,Oct 2016,Mar 6 2020,0,1,
1714,Great Online Deals of 2020,2,6,hypothetically.,Oct 2016,Mar 6 2020,0,1,
1715,Great Online Deals of 2020,2,7,but did i really save money if i've had a double set of totems~ still with tags on~ sitting in a dark closet for a couple of years,Oct 2017,Mar 6 2020,22,1,1.0
1716,Great Online Deals of 2020,2,7,hypothetically.  if a totem falls in a dark closet~ and there's no one around to talk about what a revolutionary design advancement the totem represents~ does your bank account make a sound?,Oct 2017,Mar 6 2020,22,2,
1717,Great Online Deals of 2020,2,8,but did i really save money if i've had a double set of totems~ still with tags on~ sitting in a dark closet for a couple of years,Jan 2016,Mar 6 2020,7,1,1.0
1718,Great Online Deals of 2020,2,8,hypothetically.  i've heard your closet is 3 times safer than if a double rack of bds had been sitting in the dark instead.,Jan 2016,Mar 6 2020,7,1,
1719,Great Online Deals of 2020,2,9,but did i really save money if i've had a double set of totems~ still with tags on~ sitting in a dark closet for a couple of years,Oct 2010,Mar 6 2020,0,1,1.0
1720,Great Online Deals of 2020,2,9,hypothetically.  if those were c3s bought on sale~ you could have flipped them and actually made money!,Oct 2010,Mar 6 2020,0,1,
1721,Great Online Deals of 2020,2,10,hello~ please move the chatter to a different thread,Jul 2016,Mar 6 2020,22,1,1.0
1722,Great Online Deals of 2020,2,10,keep this thread for deals only,Jul 2016,Mar 6 2020,22,1,1.0
1723,Great Online Deals of 2020,2,10,keep this thread for deals only,Jul 2016,Mar 6 2020,22,1,1.0
1724,Great Online Deals of 2020,2,10,we all thank you.rack for $80,Jul 2016,Mar 6 2020,22,1,1.0
1725,Great Online Deals of 2020,2,10,1 only,Jul 2016,Mar 6 2020,22,1,1.0
1726,Great Online Deals of 2020,2,10,good luck!,Jul 2016,Mar 6 2020,22,1,1.0
1727,Great Online Deals of 2020,2,11,i don't think this is real,Feb 2017,Mar 6 2020,2,1,1.0
1728,Great Online Deals of 2020,2,11,the seller never messaged me back~ and it seems suspicious,Feb 2017,Mar 6 2020,2,1,0.0
1729,Great Online Deals of 2020,2,11,it could be legit~ but i just wanted to throw in a caveat emptor.,Feb 2017,Mar 6 2020,2,1,1.0
1730,Great Online Deals of 2020,2,12,does banana fingers offer coupon codes? if so~ how do i get one? thanks in advance,May 2019,Mar 6 2020,0,1,1.0
1731,Great Online Deals of 2020,2,13,not much backcountry ski gear in this thread,Oct 2017,Mar 7 2020,1,1,1.0
1732,Great Online Deals of 2020,2,13,powder7 has dynafit radical st’s with 135mm brakes for $269,Oct 2017,Mar 7 2020,1,1,1.0
1733,Great Online Deals of 2020,2,13,sorry for the long link.  ​https://www.powder7.com/dynafit-radical-st-2-0-ski-bindings/sale/?utm_source=googlebase&utm_medium=paid&gclid=cj0kcqiawp3ybrckarisaabgipp9ys6hwfohymcgyolrbbqv1p9ieb6zgqgvrykrpwnkj2nabjjoghaaar5tealw_wcb​​​,Oct 2017,Mar 7 2020,1,1,
1734,Great Online Deals of 2020,2,14,camp saver has a ton of extra reward dollars,Apr 2019,Mar 7 2020,0,1,1.0
1735,Great Online Deals of 2020,2,14,c4’s are 40% rewards back~ a lot of arc’teryx is 50% rewards back~ tons of other stuff too,Apr 2019,Mar 7 2020,0,1,1.0
1736,Great Online Deals of 2020,2,15,dmm good sale as well,May 2017,Mar 7 2020,2,1,1.0
1737,Great Online Deals of 2020,2,15,alloy offsets %30 off and all dragonflies %25 off,May 2017,Mar 7 2020,2,1,1.0
1738,Great Online Deals of 2020,2,15,two of my most used pieces of gear,May 2017,Mar 7 2020,2,1,1.0
1739,Great Online Deals of 2020,2,16,dmm good sale as well,Jan 2009,Mar 7 2020,2,1,1.0
1740,Great Online Deals of 2020,2,16,alloy offsets %30 off and all dragonflies %25 off,Jan 2009,Mar 7 2020,2,1,1.0
1741,Great Online Deals of 2020,2,16,two of my most used pieces of gear  sweet!  was looking to pick up a set of dmm offsets,Jan 2009,Mar 7 2020,2,2,
1742,Great Online Deals of 2020,2,16,29% off plus 10% off the remainder with the camper10 code,Jan 2009,Mar 7 2020,2,1,1.0
1743,Great Online Deals of 2020,2,16,2 sets left...,Jan 2009,Mar 7 2020,2,1,1.0
1744,Great Online Deals of 2020,2,17,rei (believe it or not) has some great outlet deals right now,Jul 2016,Mar 8 2020,2,1,1.0
1745,Great Online Deals of 2020,2,17,you can stack discounts on stuff they cant sell to suckers for full retail,Jul 2016,Mar 8 2020,2,1,1.0
1746,Great Online Deals of 2020,2,17,you have to add stuff to your cart to see the online deals~ but many do stack well,Jul 2016,Mar 8 2020,2,1,1.0
1747,Great Online Deals of 2020,2,17,i.e snow anchors for $22~ patagonia packs for $89,Jul 2016,Mar 8 2020,2,1,1.0
1748,Great Online Deals of 2020,2,17,your mileage may vary,Jul 2016,Mar 8 2020,2,1,1.0
1749,Great Online Deals of 2020,2,17,good luck!,Jul 2016,Mar 8 2020,2,1,1.0
1750,Great Online Deals of 2020,2,18,sweet!  was looking to pick up a set of dmm offsets,Jun 2018,Mar 8 2020,1,1,
1751,Great Online Deals of 2020,2,18,29% off plus 10% off the remainder with the camper10 code,Jun 2018,Mar 8 2020,1,1,1.0
1752,Great Online Deals of 2020,2,18,2 sets left..,Jun 2018,Mar 8 2020,1,1,1.0
1753,Great Online Deals of 2020,2,18,thanks for this~ just picked up a set of dmm hb offset brassies for $111 (29% off) in addition to the 10% off code.,Jun 2018,Mar 8 2020,1,1,1.0
1754,Great Online Deals of 2020,2,19,came here to also praise gringoflojo on ebay (can't link)~ and i thought i had found a great deal on a 70/dry/bipattern rope~ but i just got an email saying that the rope is not bipattern~ which was half the reason i bought it...just a heads up,May 2018,Mar 9 2020,1,1,2.0
1755,Great Online Deals of 2020,3,1,mountaingear.com has a couple bd uls in #3 size for $75,Jan 2016,Mar 9 2020,2,1,1.0
1756,Great Online Deals of 2020,3,1,that's 40% off,Jan 2016,Mar 9 2020,2,1,1.0
1757,Great Online Deals of 2020,3,1,plus you can get 4% cash back with active junky.,Jan 2016,Mar 9 2020,2,1,
1758,Great Online Deals of 2020,3,2,if one can't afford a cilogear~ patagonia has that one (the 30l) available direct from them for $15 less than rei's sale price,Mar 2006,Mar 9 2020,2,1,1.0
1759,Great Online Deals of 2020,3,2,https://www.patagonia.com/product/ascensionist-climbing-pack-30-liters/191743367915.html?utm_source=bing&utm_medium=cpc&utm_content=shopping&utm_campaign=shopping&utm_source=bing&utm_medium=cpc&utm_content=shopping%20ad&utm_campaign=shopping%20-%20equipment&utm_term=4580771600029112,Mar 2006,Mar 9 2020,2,1,1.0
1760,Great Online Deals of 2020,3,3,there is an ebay seller (wholesalela201116) who has a bunch of black totems,Apr 2014,Mar 10 2020,3,1,1.0
1761,Great Online Deals of 2020,3,3,they list the price at $94.60 but are also accepting offers,Apr 2014,Mar 10 2020,3,1,1.0
1762,Great Online Deals of 2020,3,3,i pitched them an offer of $50 which they initially refused and presented me with $75,Apr 2014,Mar 10 2020,3,1,1.0
1763,Great Online Deals of 2020,3,3,i then pitched them $60 and ended up grabbing the black totem for $65ish including shipping,Apr 2014,Mar 10 2020,3,1,1.0
1764,Great Online Deals of 2020,3,3,maybe if you take the same approach you can grab a good deal?,Apr 2014,Mar 10 2020,3,1,1.0
1765,Great Online Deals of 2020,3,4,tried it~ poor dude on the other end will get hit harder than alpenglow if this works.,Mar 2018,Mar 10 2020,5,1,1.0
1766,Great Online Deals of 2020,3,5,tried it~ poor dude on the other end will get hit harder than alpenglow if this works,Apr 2014,Mar 10 2020,2,1,1.0
1767,Great Online Deals of 2020,3,5,according to the account its some type of wholesale entity....so i am sure they can take the hit...,Apr 2014,Mar 10 2020,2,1,1.0
1768,Great Online Deals of 2020,3,6,maybe let us know after you receive it? i've seen things on ebay like garmin explorers for $100~ too~ from fake accounts,Jan 2016,Mar 10 2020,0,1,1.0
1769,Great Online Deals of 2020,3,6,"didn't make them a ""good deal."" i suspect black totems for $60 fall into that category though hopefully not.",Jan 2016,Mar 10 2020,0,1,
1770,Great Online Deals of 2020,3,7,it's shipped already~ keep you posted.,Apr 2014,Mar 10 2020,0,1,1.0
1771,Great Online Deals of 2020,3,8,seller appears to no longer have totems available,Oct 2019,Mar 10 2020,5,1,1.0
1772,Great Online Deals of 2020,3,8,related: has some deals on hiking shoes  unrelated: screaming deals on needle drivers to suture your wounds and hot wheels to play with after!,Oct 2019,Mar 10 2020,5,1,1.0
1773,Great Online Deals of 2020,3,9,one left...green totem 40% off,Nov 2005,Mar 11 2020,1,1,1.0
1774,Great Online Deals of 2020,3,10,gone,Apr 2014,Mar 11 2020,1,1,1.0
1775,Great Online Deals of 2020,3,10,on a dif note~ al's sporting goods has the .4 and .5 z4 for $56 each.,Apr 2014,Mar 11 2020,1,1,1.0
1776,Great Online Deals of 2020,3,11,gamma ar pants up to 50% off on campsaver,Jan 2020,Mar 11 2020,0,1,1.0
1777,Great Online Deals of 2020,3,13,save 30% off bobcatsadventuresports.com camp usa tricam set  dmm demon cams dmm dragon cams black diamond stoppersblack diamond wired hexentric dmm nuts,Nov 2014,Mar 12 2020,1,1,1.0
1778,Great Online Deals of 2020,3,15,marmot friends and family code,Nov 2014,Mar 13 2020,2,1,1.0
1779,Great Online Deals of 2020,3,15,%50 off,Nov 2014,Mar 13 2020,2,1,1.0
1780,Great Online Deals of 2020,3,15,will expire today,Nov 2014,Mar 13 2020,2,1,1.0
1781,Great Online Deals of 2020,3,15,first pm gets it..,Nov 2014,Mar 13 2020,2,1,1.0
1782,Great Online Deals of 2020,3,15,edit: claimed,Nov 2014,Mar 13 2020,2,1,1.0
1783,Great Online Deals of 2020,3,15,edit: claimed,Nov 2014,Mar 13 2020,2,1,1.0
1784,Great Online Deals of 2020,3,16,black diamond c4 size 0.5 for $39: https://www.steepandcheap.com/black-diamond-camalot-c4s-bld0839?skid=bld0839-s05-onsi&ti=uexqienhddpsb2nriensaw1iaw5niedlyxi6mjoyntpzywndyxq4mtawmda0 mammut 70m rope for $115 : https://www.steepandcheap.com/mammut-galaxy-protect-climbing-rope-10.0mm-mam00dn?skid=mam00dn-viogn-s70m&ti=uexqienhddpsb2nriensaw1iaw5niedlyxi6mtoxmtpzywndyxq4mtawmda0 there are also a lot of other ropes at a good price,Nov 2019,Mar 13 2020,1,1,1.0
1785,Great Online Deals of 2020,3,17,jh13rf at checkout at acopaoutdoors.com for 15% off your entire order until the end of march,Nov 2014,Mar 14 2020,0,1,1.0
1786,Great Online Deals of 2020,3,18,alpenglow has 30% off their entire site now until 3/29,Jun 2017,Mar 15 2020,3,1,1.0
1787,Great Online Deals of 2020,3,18,promo code: spring,Jun 2017,Mar 15 2020,3,1,1.0
1788,Great Online Deals of 2020,3,19,campsaver has 20% off their already reduced outlet prices,Jul 2017,Mar 16 2020,0,1,1.0
1789,Great Online Deals of 2020,3,19,they have some discounted ropes in there~ i picked up a 70m bluewater for 120$.,Jul 2017,Mar 16 2020,0,1,
1790,Great Online Deals of 2020,4,0,the last hunt currently has 60% off their winter collectionthelasthunt.com/,Apr 2018,Mar 16 2020,0,1,1.0
1791,Great Online Deals of 2020,4,1,tone deaf deal of 2020!,Dec 2011,Mar 16 2020,31,1,1.0
1792,Great Online Deals of 2020,4,2,bd rocklocks for 8.73 on rei outlet,Jul 2018,Mar 17 2020,3,1,1.0
1793,Great Online Deals of 2020,4,2,save even more if your order goes above $100 with 20$ offrei.com/rei-garage/product/…,Jul 2018,Mar 17 2020,3,1,1.0
1794,Great Online Deals of 2020,4,3,also ships for free with no minimum~ a solid deal.,Oct 2017,Mar 17 2020,0,1,
1795,Great Online Deals of 2020,4,5,at my local gear store they have two (1 medium and 1 large) arc'teryx cerium lt hoody's brand new at fifty percent off,May 2019,Mar 18 2020,8,1,1.0
1796,Great Online Deals of 2020,4,5,if anyone wants me to ship them to you~ i can make the transaction for you,May 2019,Mar 18 2020,8,1,1.0
1797,Great Online Deals of 2020,4,5,pm if you want photos.,May 2019,Mar 18 2020,8,1,1.0
1798,Great Online Deals of 2020,4,6,was just looking around and saw this on the market,Feb 2020,Mar 20 2020,0,1,1.0
1799,Great Online Deals of 2020,4,6,not sure about the website..but paypal checkout has you covered incase anything happens,Feb 2020,Mar 20 2020,0,1,1.0
1800,Great Online Deals of 2020,4,6,metolius session 2 for $65 shipped for me.https://www.picksof.com/pad-ii-crash-session-metolius,Feb 2020,Mar 20 2020,0,1,1.0
1801,Great Online Deals of 2020,4,7,wish i was braver,May 2018,Mar 20 2020,3,1,1.0
1802,Great Online Deals of 2020,4,7,$65 shipped from china and a company with a gmail contact email address?,May 2018,Mar 20 2020,3,1,1.0
1803,Great Online Deals of 2020,4,8,wish i was braver,Feb 2020,Mar 20 2020,0,1,1.0
1804,Great Online Deals of 2020,4,8,$65 shipped from china and a company with a gmail contact email address?  only did it cause the paypal protection..ill keep the forum posted...,Feb 2020,Mar 20 2020,0,1,
1805,Great Online Deals of 2020,4,9,dude this looks sketch as hell,Nov 2017,Mar 20 2020,3,1,0.0
1806,Great Online Deals of 2020,4,9,let us know if it actually arrives.,Nov 2017,Mar 20 2020,3,1,1.0
1807,Great Online Deals of 2020,4,10,dude this looks sketch as hell,Feb 2020,Mar 20 2020,2,1,0.0
1808,Great Online Deals of 2020,4,10,let us know if it actually arrives,Feb 2020,Mar 20 2020,2,1,1.0
1809,Great Online Deals of 2020,4,10,sure does,Feb 2020,Mar 20 2020,2,1,1.0
1810,Great Online Deals of 2020,4,10,very small hope but we are stuck in quarantine and i have a bit of time.,Feb 2020,Mar 20 2020,2,1,
1811,Great Online Deals of 2020,4,11,i have previously bought stupid good deals from websites like this~ where a piece of climbing gear seems out of place and is way below other prices in other retailers,May 2014,Mar 20 2020,12,0,1.0
1812,Great Online Deals of 2020,4,11,both times i got nothing and both times paypal refunded me,May 2014,Mar 20 2020,12,1,1.0
1813,Great Online Deals of 2020,4,11,these are two signs that you won't actually get anything,May 2014,Mar 20 2020,12,1,1.0
1814,Great Online Deals of 2020,4,11,in this case~ it fails both tests,May 2014,Mar 20 2020,12,1,1.0
1815,Great Online Deals of 2020,4,11,- if you go to the home page of the website and the type of items they sell are totally unrelated - if you search their website for the same item you're looking at~ and nothing comes up and to make sure that every comment on this thread has a deal on it: mountainsteals has currently 15% off on everything with code xtra15,May 2014,Mar 20 2020,12,1,1.0
1816,Great Online Deals of 2020,4,11,some good deals there for sure~ especially on ropes,May 2014,Mar 20 2020,12,1,1.0
1817,Great Online Deals of 2020,4,11,example: https://www.mountainsteals.com/product/mammut-9-8mm-eternity-classic-rope_10367076 some harnesses for close to $30 and camp helmet for about $40,May 2014,Mar 20 2020,12,1,1.0
1818,Great Online Deals of 2020,4,11,make sure you also add the aj cashback~ right now at 12%,May 2014,Mar 20 2020,12,1,1.0
1819,Great Online Deals of 2020,4,12,$72 totems at al's sports $52 bigger z4s,May 2015,Mar 20 2020,6,1,1.0
1820,Great Online Deals of 2020,4,13,als10 for 10% off,Oct 2010,Mar 20 2020,3,1,1.0
1821,Great Online Deals of 2020,4,14,40% off everything at eddie bauer with code spring40,Nov 2017,Mar 20 2020,2,1,1.0
1822,Great Online Deals of 2020,4,15,alpenglow gear flash sale~ 40% off~ code '100' for the first 100 orders,Jun 2018,Mar 21 2020,3,1,1.0
1823,Great Online Deals of 2020,4,15,alpenglowgear.com/,Jun 2018,Mar 21 2020,3,1,1.0
1824,Great Online Deals of 2020,4,16,many discounts on products that are very hard to find or never find in sales.even better: all prices are in cad,Sep 2016,Mar 21 2020,6,1,1.0
1825,Great Online Deals of 2020,4,16,take advantage of the recent big drop of canadian dollars,Sep 2016,Mar 21 2020,6,1,1.0
1826,Great Online Deals of 2020,4,16,the exchange rate is amazingly good right now for us customers,Sep 2016,Mar 21 2020,6,1,1.0
1827,Great Online Deals of 2020,4,16,it gives you 10% off of the usual exchange rate that you can add to the actual discount,Sep 2016,Mar 21 2020,6,1,1.0
1828,Great Online Deals of 2020,4,16,grivel ice tool dark machine~ dark machine x and monster at 10% off,Sep 2016,Mar 21 2020,6,1,1.0
1829,Great Online Deals of 2020,4,16,north machine at 20% off https://www.verticallstore.com/index.aspx?pageid=4546832&chainid=448455&txtquicksearch=grivel all krukonogi products (ice and dry tooling picks~ front points~ ice tool~ aid gear) at 15% off,Sep 2016,Mar 21 2020,6,1,
1830,Great Online Deals of 2020,4,16,i have never seen before krukonogi's product in sale.https://www.verticallstore.com/index.aspx?pageid=4546832&chainid=448455&txtquicksearch=krukonogi la sportiva ice climbing and mountaineering boots at 25% off.https://www.verticallstore.com/back_heel_amp_toe_heel/cat4546832_4593097.aspx,Sep 2016,Mar 21 2020,6,1,1.0
1831,Great Online Deals of 2020,4,19,worked for me~ not on email list,Jul 2014,Mar 21 2020,3,1,1.0
1832,Great Online Deals of 2020,4,19,scored an edelrid  tc pro duo tec 9.6 for like $150,Jul 2014,Mar 21 2020,3,1,
1833,Great Online Deals of 2020,5,0,30% everything at bobcat's adventure sports,May 2014,Mar 22 2020,3,1,1.0
1834,Great Online Deals of 2020,5,0,dicsount applies automatically at checkout~ no coupon required,May 2014,Mar 22 2020,3,1,1.0
1835,Great Online Deals of 2020,5,0,decent deal on 2019 bd c4s and other cams,May 2014,Mar 22 2020,3,1,1.0
1836,Great Online Deals of 2020,5,1,bd stopper set 4-13 going for $49 after discount,Jun 2019,Mar 22 2020,1,1,1.0
1837,Great Online Deals of 2020,5,2,"a lot of mysty mountain harnesses at around 50% discount with the code ""march"" on campsaver:campsaver.com/misty-mountai…",Nov 2019,Mar 23 2020,4,1,1.0
1838,Great Online Deals of 2020,5,3,bd spinner leash for for $27 plus local taxes & free shipping from rei if you use the memeperks2020 coupon,Jul 2016,Mar 24 2020,0,1,1.0
1839,Great Online Deals of 2020,5,3,(in the outlet section)  good luck!,Jul 2016,Mar 24 2020,0,1,1.0
1840,Great Online Deals of 2020,5,4,this is the usd vs cad for the last year,Sep 2016,Mar 24 2020,14,1,1.0
1841,Great Online Deals of 2020,5,4,the final big rise is the last 2 weeks.,Sep 2016,Mar 24 2020,14,1,1.0
1842,Great Online Deals of 2020,5,5,just picked up a dmm wallnut/offsets package at dicks climbing over in the uk for $115 usd,Feb 2017,Mar 24 2020,1,1,1.0
1843,Great Online Deals of 2020,5,5,most their stuff is 10% off right now~ including totem cams,Feb 2017,Mar 24 2020,1,1,1.0
1844,Great Online Deals of 2020,5,5,usd to gbp is doing well right now for even more savings,Feb 2017,Mar 24 2020,1,1,1.0
1845,Great Online Deals of 2020,5,5,if you buy more than £400 you can get quoted even more of a discount.,Feb 2017,Mar 24 2020,1,1,
1846,Great Online Deals of 2020,5,6,arcteryx procline carbon ski boots in 26.5 are $115 on evo,Sep 2016,Mar 25 2020,1,1,1.0
1847,Great Online Deals of 2020,5,6,they run way small in my experience,Sep 2016,Mar 25 2020,1,1,1.0
1848,Great Online Deals of 2020,5,6,so maybe good if you're 25.5 or 26 mondo usually.evo.com/outlet/used/alpine-…,Sep 2016,Mar 25 2020,1,1,1.0
1849,Great Online Deals of 2020,5,7,good grief~ they can’t even give the things away.,Oct 2017,Mar 25 2020,1,1,
1850,Great Online Deals of 2020,5,8,use code ae20 at moosejaw for 20% off one full-priced item; activejunky has 14% cash back right now,Oct 2017,Mar 25 2020,5,1,
1851,Great Online Deals of 2020,5,8,using the two on a set of wc friends (0.4-3) gets you 6 cams for $278.60 plus tax - $46.43 per cam,Oct 2017,Mar 25 2020,5,1,1.0
1852,Great Online Deals of 2020,5,8,someone please buy all of them so i can’t buy any.,Oct 2017,Mar 25 2020,5,1,
1853,Great Online Deals of 2020,5,9,me again,Oct 2017,Mar 25 2020,0,1,1.0
1854,Great Online Deals of 2020,5,9,scarpa charmoz for $250 shipped on ebay~ being sold by backcountry,Oct 2017,Mar 25 2020,0,1,
1855,Great Online Deals of 2020,5,9,men’s and women’s available in most sizes,Oct 2017,Mar 25 2020,0,1,1.0
1856,Great Online Deals of 2020,5,9,i think this is the item id for the men’s: 312976001463,Oct 2017,Mar 25 2020,0,1,1.0
1857,Great Online Deals of 2020,5,11,if youre interested in bc ski/splitboard stuff g3 is doing 25% off everything and 40% of clearance stuff right now (not including the cad discount for yall in the us).www.genuineguidegear.com​​​,Jul 2019,Mar 26 2020,1,1,1.0
1858,Great Online Deals of 2020,5,12,totems @ al's sporting goods,Apr 2014,Mar 26 2020,1,1,1.0
1859,Great Online Deals of 2020,5,12,in stock,Apr 2014,Mar 26 2020,1,1,1.0
1860,Great Online Deals of 2020,5,12,looks like around $85 shipped...cant figure out how to get any coupon codes to work.,Apr 2014,Mar 26 2020,1,1,1.0
1861,Great Online Deals of 2020,5,13,camp has some good discounts on discontinued items~ including: orbit express quickdraws - 6 pack for $50https://www.camp-usa.com/outdoor/product/outlet/orbit-express-ks-quickdraw-6-pack/ orbit lock - 3 pack (black) $20https://www.camp-usa.com/outdoor/product/outlet/orbit-lock-3-pack/ discontinued items:https://www.camp-usa.com/outdoor/tags/discontinued-ss2020/,Mar 2015,Mar 26 2020,1,1,1.0
1862,Great Online Deals of 2020,5,14,there is an additional 25% pro-deal available off camp outlet if you are a member of the american alpine club.,Sep 2014,Mar 26 2020,3,1,1.0
