,Hi all~ I am in the market for a new plaquette style device,1
1578,It just seems like a really good deal,1
1579,If not~ what about maxim ropes in general? Any information/experiences with or about Maxim ropes would be greatly appreciated,1
1580,Thanks!,1
1581,They are expensive but durable and generally very well handling,1
1582,It's hard to swallow the price sometimes,1
1583,I mostly buy thinner ropes with out bipattern or dry treatment to save money and have not had many maxim ropes because you can't find many that are not set treated,1
1584,It's what I use for my roped soloing setup~ on about my 10th one...,1
1585,If you do go with the blue 9.9 Honnold~ it's still a good rope (my GF owned one)~ just a little heavy for what I typically like ( I mostly climb on 8.9 - 9.4),1
1586,It still handles really well though.,1
1587,They're reputedly very durable~ but they have a higher than average impact force,1
1588,Seem like a great sport project rope,1
1589,The Airliner is my favorite rope of all time.,1
1590,A climbing partner of mine bought a 10.2 Maxim rope a few years back,1
1591,What we both noticed about it is that it is really stiff,1
1592,It reminds me of typical gym top ropes in that it is not particularly easy to make knots in,1
1593,At one point during a climb I noticed my well dressed and tensioned double fisherman backup knot after the figure eight follow through on my harness completely unravel itself,1
1594,I also noticed well dressed and tensioned double fisherman stopper knots for rappels almost come undone,1
1595,We decided that for this rope it needed triple fisherman knots,1
1596,I'm not impressed with this rope,1
1597,Neither of us particularly cares for it,1
1598,I don't know if all of their ropes are like this,1
1599,My piece of advice is to not buy these without being able to feel and compare how supple they are compared to other brands,1
1600,I used the 9.9 Honnold Glider bi-pattern for a while,1
1601,It starts off stiff and smooth with good handling,1
1602,After I put it through its' paces the sheath softened up and it became extremely slow to feed and in general very poor to handle,1
1603,It's also heavy at 66g/m~ and at that weight I wish it were more durable,1
1604,I used the 9.9 Honnold Glider bi-pattern for a while,1
1605,It starts off stiff and smooth with good handling,1
1606,After I put it through its' paces the sheath softened up and it became extremely slow to feed and in general very poor to handle,1
1607,It's also heavy at 66g/m~ and at that weight I wish it were more durable,1
1608,All of the Glider 9.9's come with a twill-weave sheath and are stiffer than most ropes,1
1609,I like that because I use them for lead rope soloing and the combination of slightly stiffer than normal and a smooth sheath are an ideal pairing with the Edelrid Eddy I use,1
1610,As I said above~ been through about ten of them and~ while a little softer at the end of a season~ it's not markedly so from my experience.,1
1611,Used to get Mammut ropes almost exclusively~ now Maxim pretty much exclusively! Have not had that particular cord~ but was impressed with some other models,1
1612,I mean Honnold obviously doesn't trust it.,1
1613,I mean Honnold obviously doesn't trust it,1
1614,Does he trust any ropes?,1
1615,I had a 10.2mm one and LOVED the way it handled,1
1616,It turned 10 last year and I retired it~ though,1
1617,Great rope with a soft catch.,1
1618,had a 9.1 airliner as a redpointing rope,1
1619,ended up working it really hard and it's held up better than any rope I've had~ despite being skinny and dragged through all manner of dirt and grit,1
1620,Lasted significantly longer than any other rope i've had and kept a smooth sheath,1
1621,Sheath on my maxim glider gym rope melted through somehow in less than 6 months of use twice a week,1
1622,Will never buy their ropes again,1
1623,I've been very happy with my Beal Yuji and Blue Water Lightning Pro Double Dry,1
1624,Just bought yet another 9.9 Glider yesterday...,1
1625,I've only owned one of their ropes,1
1626,I bought: https://www.rei.com/product/869679/maxim-alex-honnold-signature-bi-pattern-glider-99mm-x-70m-dry-rope I took it climbing outside twice,1
1627,It got a random sheath tear that exposed the core on the 2nd trip,1
1628,I cannot figure out exactly how it tore as anchors were well extended,1
1629,I wouldn't buy maxim ropes again,1
1630,I think they have a problem with their braid,1
1631,Dunno~ as I said~ just bought my eleventh one and have never had a single complaint with any of them - and I don't coddle them in any way.,1
1632,I have owned two of the 9.9 gliders and now have a 9.5 Maxim,1
1633,I love everything about these ropes except the sheath durability and for that reason will not buy another one~ at least for a few years of exploring other brands again,1
1634,The super tight weave of the sheath gives these ropes their incredible handling of easier clips due to increased stiffness~ and fast handling due to the increased slickness/decreased friction,1
1635,Unfortunately the tight sheath~ in my opinion~ also results in much more frequent and greater sheath damage than ropes with 'normal' sheaths,1
1636,Think of the difficulty in cutting a rope that is limp versus cutting it while holding it in tension,1
1637,I have used other Maxim ropes that I liked~ but I had a Maxim Glider 9.9 and I absolutely hated it,1
1638,It was SO stiff and hard to belay with~ especially from above in guide mode,1
1639,Pulling slack through grigri kind of sucked too,1
1640,I sold it after using it a few times,1
1641,It might have broken in if I used it more~ but honestly~ I've used lots of other ropes and that was the worst,1
1642,Yeah the 9.9 Gliders are stiff due to the twill sheath weave which is quite a bit finer~ tighter and smoother than most rope sheath weaves,1
1643,In many respects it handles a lot like a Mammut SuperSafe 10.2,1
1644,But those qualities are what I need for pairing with my Edelrid Eddy for roped soloing - might look at other ropes for climbing with partners,1
1645,None of the ten that i've owned ever got much in the way of sheath damage to speak of except one that was a couple of years old and somewhat abused,1
1646,I've had a 60m glider (I think it's 10.2?) for 3 years and have found it to be very durable,1
1647,I paid $120ish when i bought it (60m~ dry~ no bi-pattern)~ and that seemed like a very good deal at the time when I compared it to others with similar specs,1
1648,I'd say it feels heavy for the diameter~ the pattern I have is not particularly cool (but whatever)~ and it's true that it doesn't hold knots as well as others when it's new,1
1649,But it broke in nicely~ seems durable as hell~ and was a good price,1
1650,My skinnier ropes aren't Maxims~ but I'll definitely consider one of their skinnier ropes when it's time to get another,1
1651,BTW~ FWIW~ Maxim is the climbing brand of Teufelberger,1
1652,They have a reputation for excellent cordage across many industries~ and are definitely not an unknown or bootstrapped operation.,1
1653,I have used other Maxim ropes that I liked~ but I had a Maxim Glider 9.9 and I absolutely hated it,1
1654,It was SO stiff and hard to belay with~ especially from above in guide mode,1
1655,Pulling slack through grigri kind of sucked too,1
1656,I sold it after using it a few times,1
1657,It might have broken in if I used it more~ but honestly~ I've used lots of other ropes and that was the worst,1
1658,I feel the same way~ Maxim makes (in my opinion~ based on my desired rope characteristics) the WORST ropes,1
1659,Names like Glider and Airliner should really be Steel Cable and Rebar,1
1660,If I'm cragging with multiple people and someone needs a catch on a Maxim~ I'll volunteer my own rope (usually a Sterling) instead of deal with what feels like 18.5 mm of high tension line stuffed into my belay device,1
1661,I can totally see why Honnold gets the ropes for free(?) and still doesn't use them :-P,1
1662,Yeah the 9.9 Gliders are stiff due to the twill sheath weave which is quite a bit finer~ tighter and smoother than most rope sheath weaves,1
1663,In many respects it handles a lot like a Mammut SuperSafe 10.2,1
1664,But those qualities are what I need for pairing with my Edelrid Eddy for roped soloing - might look at other ropes for climbing with partners,1
1665,None of the ten that i've owned ever got much in the way of sheath damage to speak of except one that was a couple of years old and somewhat abused,1
1666,Take a look at Tendon Hattrick series of ropes~ soon to be available through campsaver.com,1
1667,Nice smooth weave on the sheath~ but still has a really nice hand,1
1668,Falls nicely between the stiff Maxim ropes and floppy Petzl ropes,1
1669,Really good for rope solo and standard climbing/belay situations,1
1670,Take a look at Tendon Hattrick series of ropes~ soon to be available through campsaver.com,1
1671,Nice smooth weave on the sheath~ but still has a really nice hand,1
1672,Falls nicely between the stiff Maxim ropes and floppy Petzl ropes,1
1673,Really good for rope solo and standard climbing/belay situations,1
1674,I was using Tendon 9.8's before switching to the 9.9 Gliders~ will take a look next rope - thanks,1
1675,[EDIT: Just looked,1
1676,Unfortunately they dropped from the 9.8 to a 9.7 and I really feel more comfortable lead rope soloing with a 9.8 or 9.9 in the Edelrid Eddy,1
1677,Tuning the device / rope pairing is pretty critical and am not too inclined to move away from a combo I know works well...thanks anyway though,1
1678,],1
1679,I was using Tendon 9.8's before switching to the 9.9 Gliders~ will take a look next rope - thanks,1
1680,[EDIT: Just looked,1
1681,Unfortunately they dropped from the 9.8 to a 9.7 and I really feel more comfortable lead rope soloing with a 9.8 or 9.9 in the Edelrid Eddy,1
1682,Tuning the device / rope pairing is pretty critical and am not too inclined to move away from a combo I know works well...thanks anyway though,1
1683,] They have a Hattrick 9.9~ as well as 9.7~ 10.2~ 10.5,1
1684,They have a Hattrick 9.9~ as well as 9.7~ 10.2~ 10.5,1
1685,Maybe they've stopped making the 9.9 - at least it's not up on their website,1
1686,[EDIT:  I did finally find it in their 2017 pdf catalog,1
1687,],1
1688,No problem~ I went through about a half dozen or so of the Tendon 9.8s before I decided that extra mm of the 9.9 was worth having in the rope solo rig,1
1689,Will take a look next time I'm getting one.,1
1690,Getting mixed reviews of the 9.9mm glider; I'm glad I purchased it at REI in the event that it doesn't work out so well,1
1691,Can't believe that no one's yet suggested getting Totems instead of the rope,1
1692,Must be a slow day.,1
1693,Just cut the new 70m Honnold Glider I got a deal on down to a 60m because that's what fits in the bag I rope solo with and I don't want to carry the weight of a full 70m at the start of pitches,1
1694,Don't think ill of me...,1
1695,I just cut my Maxim 70m x 9.5mm in half due to a weird fray and severe kinking and swollen section after about 5 uses,1
1696,This occurred in a rappel,1
1697,I inspected the core after chopping~ and could not find any damage,1
1698,I'm guessing one or two of the fiber bundles got severely twisted and pinched,1
1699,Like others have said~  very durable~ a bit stiff,1
1700,They tend to have higher impact force than other similar size ropes,1
1701,9.9 KN.,1
1702,I got a Pinnacle 9.5mm (really 9.7mm) for cheap in Squamish this year,1
1703,Whilst It's been durable enough to use as my primary line and even left for weeks at a time as a fixed line on the chief~ you can't overlook how poorly it handles,1
1704,The strange weave and stiffness make this rope a chore to clip and feed through grigri etc,1
1705,All in all a good rope as a durable and cheap workhorse but unsuited to more technical climbing.,1
1706,I have an older 9.8 glide 70m that I love,1
1707,My partner says it’s too stiff compared to his mammut,1
1708,Every time I buy a non-Mammut rope I'm disappointed,1
1709,These days I just go with Mammut,1
1710,I've never had one I didn't like,1
1711,I have the 9.9 Biweave and I love it,1
1712,Great general purpose rope for all types of climbing,1
1713,I’m on my 2nd season with this rope and don’t have any complaints,1
1714,Mostly outdoor sport climbing~ but used on a few trad routes as well,1
1715,I picked up a maxim 9.9 bi-color dry treated,1
1716,Paid a little over $200 because I like having the afore-mentioned features,1
1717,It’s much more stiff than all the Sterling ropes I’ve had~ but also a little bit thicker,1
1718,Ropes are ropes..,1
1719,go for the features you like at your chosen price point,1
1720,I personally don’t overthink it beyond that,1
1721,Bought another airliner and i dont think i will buy anything else ever again,1
1722,I also just went out and bought the airliner..,1
1723,Excited to try this out very soon!,1
1724,All of the last five maxim ropes I have owned have shown really poor durability compared to any and all other brands of rope,1
1725,They handle like a dream~ but are easily core-shot,1
1726,All ropes are not equal~ although most have very similar handling and durability,1
1727,Maxim ropes unfortunately just don't last,1
1728,I only have the Platinum,1
1729,I haven't been thrilled with its handling--even for the diameter it feels stiff--but the features make up for it,1
1730,I'd say durability is good-not-great for the diameter~ but I tend to be pretty tough on ropes and mostly climb on either rough granite or sandstone,1
1731,Thats really werid,1
1732,As my experience and many of my friends only buy these for their durability,1
1733,Hi everyone~ I'm in need of some help,1
1734,I'm studying how climbing brand's use educational content on social media for my master's in sports management,1
1735,I'd really appreciate it if you'd fill out my survey! Here's the link: https://docs.google.com/forms/d/e/1FAIpQLSf0UCxjM_kZLfaUSr5Iv4dkwA4GYsUtLZOO-o_wV9XD_KFjbw/viewform,1
1736,Your questions are leading~ as if you know what you want to get in return - it's a great way to get the answers you want,1
1737,Right?,1
1738,You're off to a start,1
1739,Market research surveys take quite a bit of understanding,1
1740,keep it up and you'll get there,1
1741,Keep working on more objective questions,1
1742," A ""maybe"" answer would have been what I would check on most of these if it were available",1
1743,There are many factors that go into successful brands and products~ utility~ design~ style~ fashion~ and endorsement,1
1744,Omega Pacific was the cheap crap for decades,1
1745,Then a few years ago their design became brilliant and the brand became valuable over night,1
1746,Chouinard Equipiment was a powerful brand in the 70's and 80's,1
1747,Lawyers turned it into Black Diamond,1
1748,Same stuff but a different name and the brand became slightly less valuable,1
1749,As the founder moved away from the brand and it grew in the hands of others~ it started to have a big corporate look and lost respect from long term fans of Chouinard,1
1750,I could go on about many others,1
1751,The idea that training content is going to make the brand is only a part of the picture,1
1752,You could provide great content but if brand was made in an unpopular overseas country it would do little to move that brand,1
1753,Petzl was just another European brand decades ago,1
1754,But they really got their engineering going and came up with some clever and quality stuff,1
1755,They also have some nice content,1
1756,Your survey also implies that we are concerned about safety,1
1757,That may be true for that mass hordes of new climbers,1
1758,But not at all for real athletes who push the envelope and get printed up in the mags,1
1759,Climbing skill~ climbing efficiency~ these are far more valuable to many than safety,1
1760,Perhaps a survey that found out what qualities climbers seek,1
1761,"Another question you might consider is ""how much did you spend on climbing gear in the last year?"" with multiple choice answers",1
1762,Older climbers~ like me~ have lots of opinions but spend diddly squat on new gear so you could pretty much throw out our answers,1
1763,If you want to make money you have to find out who has it and research how to get it from them,1
1764,My 2 cents,1
1765,40 years marketing experience,1
1766,45 years climbing experience.,1
1767,Fourth question out of the gate is not really valid,1
1768,I’m not so confident there is any correlation between skill and the number of years spent climbing,1
1769,After my first 5 years of climbing I was still a total gumby and not ‘advanced’ by any stretch,1
1770,Also~ what is ‘skill’ in this context? The grade you can climb? Proficiency in rigging~ hauling and big wall techniques? Ability to recognize objective hazards in an alpine environment? I hate seeing the weekly survey picked apart~ but consider running this by your advisor and reworking some of the questions,1
1771,I’m in agreement with an earlier post that the questions are very leading,1
1772,An interesting concept,1
1773,Wishing you luck on your thesis.,1
1774,I understand how hard it is to create a high quality~ unbiased survey for data collections purposes,1
1775,It seems simple in theory but is actually quite difficult,1
1776,I took your survey~ but I agree with others that some weird assumptions were made~ i.e,1
1777,one is assumed to be an advanced climber if they've been climbing more than 5 years,1
1778,"Also~ a lot of climbers like myself ""abide by safety recommendations when climbing"" under variable conditions~ depending on the situation",1
1779,"It was also unclear if references to ""improving your skill/becoming a better climber"" meant improving one's movement technique~ or improving one's understanding of equipment handling techniques~ or both~ or something else~ or whatever the survey taker assumes it to be? People's assumptions of what this means as they approach the survey could muddy the results I think~ but not in a way you could dissect after the fact since there's nothing in the survey which allows people to let you know their interpretation",1
1780,Learning how to use a specific piece of equipment vs learning how to belay or how/when to sling out trad protection pieces are very different types of content,1
1781,I feel that climbers with 15 or 20+ years of experience vs climbers with~ say~ 2-6 years of experience will approach this survey very differently,1
1782,Which may be one of the things you're trying parse out with your data~ but I found there to be no nuance or additional selections or ability to comment to give you any information why I feel just because a brand teaches me something means I will or won't be brand loyal or more likely to trust their reliability,1
1783,Just some food for thought when it comes time to look at the results.,1
1784,The survey sucked~ unfortunately,1
1785,It reeks of bias,1
1786,On an anecdotal front~ I've always considered Petzl to be a great example of a brand that emphasizes the user-perspective educational strategy very effectively,1
1787,I can quickly read their cartoon-style instructions~ and could also watch how-to videos for their products,1
1788,That information is very easy to find on their websites~ etc,1
1789,That said I have never once bought a piece of Petzl gear simply on the virtue that the company emphasizes an educational strategy,1
1790,And I never made a decision not to buy a given piece of gear from a different company based on some perceived lack of educational material~ either,1
1791,I don't need a how-to guide attached to every claw hammer I might purchase,1
1792,Same is true for climbing gear,1
1793,Its actually kind of ridiculous to expect educational materials be made available at every point of purchase,1
1794,However I don't make or break buy decisions based on entertainment value either,1
1795,Patagonia makes some cool videos but never once did one of those cool videos prompt me to make a purchase,1
1796,In the case of Patagonia the only successful strategy is 40% off~ hah! I don't care who their ambassadors are or what they do~ I truly don't,1
1797,They can fire them all for all I care,1
1798,Oh wait~ they did that already,1
1799,I don't care~ they're just models anyway,1
1800,Good~ no~ great gear at a fair price~ that's what I'm after,1
1801,"If a brand were to ask me my advice it would be ""focus on making the best gear possible and then sell it at a fair price."" Edu material is a good attribute to add to a product line but at least for me that edu material is not actually material to a purchase decision.",1
1802,I'm trying to decide on a harness,1
1803,I'm thinking about the BD solution guide bc I want to start doing multipitch this summer,1
1804,I often do only single pitch outdoor climbing though..,1
1805,Right now I'm doing lots of indoor climbing,1
1806,So I need a good all-rounder..,1
1807,Any opinions?,1
1808,Gear loops are kinda small on the solution guide,1
1809,I like the Petzl Sama and the metolius safe tech,1
1810,Enough space on gear loops and comfortable (for me) at a hanging belay.,1
1811,Petzl Adjama,1
1812,One of the best all arounders I’ve ever used,1
1813,The harness that doesnt hurt you after a +30 minute hanging belay.,1
1814,Hey,1
1815,Thinking about the petzl Sana or black diamond guide,1
1816,My friends are saying go for the BD~ but I don't know,1
1817,Opinions on those two specifically,1
1818,FWIW~ I recently ordered a BD solution guide~ and can confirm Travis' comment- the gear loops are smaller than I'd like; but more importantly~ the non-adjustable leg loops were too small for my thunder thighs~ even while only wearing thin pants,1
1819,I ended up selling the harness to a scronny friend who is just getting into climbing~ and got myself a petzl Adjama- much more gear loop space~ super comfy~ and even has a 5th rear gear loop for anchor gear/extra stuff,1
1820,I agree with Layne~ great all around~ comfy~ lots of gear~ and not too expensive.,1
1821," Petzl Adjama for a ""low cost"" all around Harness~ and the Arcteryx AR series for ""High end"" all around",1
1822,The solutions gear loops are wayyyyy too small for multipitch.,1
1823,Also the key difference between the Sama and Adjama is that Adjama has adjustable leg loops; Sana’s are fixed and also not friendly for thunder thighs! Boo!,1
1824,Literally replying to up the Jeremy count,1
1825,Sad to see that Misty Mountain gets skipped,1
1826,I guess they don’t contribute enough ad dollars,1
1827,I think a MM will be my next harness if I can ever wear out this Adjama,1
1828,My last one was a Cadillac back around 1990,1
1829,I loved that thing,1
1830,These review sites make money when companies offer them kickbacks for a click-to-sale,1
1831,It’s called affiliate marketing,1
1832,Metolius and Misty Mountain may not offer as much (or any) money in comparison to Petzl or BD,1
1833,Always be skeptical of review sites with this business model,1
1834,I’ve never gotten the Misty mountain fan club,1
1835,I haven’t been impressed by any of their harness,1
1836,They are comfy if you are just standing there~ but the fleece lining gets so hot and sweaty so fast~ and the waist is basically just a 1” seatbelt harness covered in foam,1
1837,Every other manufacturer (yes I know that’s an exaggeration~ but most of the big names) has found ways to spread that load better than EVA foam,1
1838,Misty even had to stop selling a whole harness and a leg loop option because so many people were getting their family jewels crushed,1
1839,How does a company that only specializes in one thing get that one thing THAT wrong?,1
1840,There seems to be two camps here~ people who love MM harnesses~ and those that have never used a MM harness,1
1841,I'm on my third MM Cadillac~ and second Turbo,1
1842,The comfort is outstanding~ the gear loops are perfect~ they are extremely burly and they look cool,1
1843,I also own a BD Momentum and a Petzl Sama,1
1844,They are good gym/top rope harnesses~ and maybe sport climbing~ but they suck balls for trad climbing,1
1845,The loops are too small on the BD~ and the Petzl has a strange overlapping gear loop that makes it hard to pick gear out~ which is not good for hard trad,1
1846,So buy whatever you can afford~ and then go and buy a Misty Mountain when you age enough value comfort over trendiness (Arc'teryx),1
1847,I haven't owned one~ But I have climbed in both a Caddy and a Turbo,1
1848,Both were meh at best for me,1
1849,Agreed,1
1850,I own a misty,1
1851,It sits in my closet in favor of my camp energy which is both much more comfortable and lighter.,1
1852,I thought the whole point of the Solution Guide was to offer a model with larger gear loops than the Solution~ are you saying they didn’t even got that right? Also from BD’s website the Solution Guide does have a 5th gear loop at the back,1
1853,Misty Mountain Cady and Turbo are great multi-pitch harnesses that rack plenty of gear~ are comfortable~ and very durable,1
1854,Plus you can call them and discuss several customizable options,1
1855,Doubt any other manufactures will do that,1
1856,Made in the USA,1
1857,I haven't owned one~ But I have climbed in both a Caddy and a Turbo,1
1858,Both were meh at best for me,1
1859,I think they fit certain body shapes better than others...my buddy that is very thin with a long waist (5'10 and 140lb) does not like either the Turbo or the Cadillac,1
1860,Loves his Petzl Calidris~ even though they wear out every few years.,1
1861,I thought the whole point of the Solution Guide was to offer a model with larger gear loops than the Solution~ are you saying they didn’t even got that right? Also from BD’s website the Solution Guide does have a 5th gear loop at the back,1
1862,Yeah that was my understanding too~ but I was let down,1
1863,held them side by side with a BD Momentum harness and saw no difference,1
1864,"The 5th loop in the back is nice~ and there's a small ""0kN"" loop for a chalk bag~ but the main loops are plain ol'.",1
1865,My own two cents based on harnesses I have used: Petzl Adjama: -you will bruise with more than a light trad rack -I used it on RNWF of half dome~ massive bruises,1
1866,-small gear loops -good gym harness -good sport harness -cheap -not comfy for even semi-hanging belays Misty Mountain Cadillac -comfy af -the extra gear loops are good for walls and beginner trad when you feel the need to bring the kitchen sink -it is pretty heavy~ but not you still have a good range of motion and your rack will weight more -takes a beating (I've put over 1000 granite and sandstone pitches on mine in the last 2.5 years) -it's nice as a beginner when you aren't as dialed on light and fast systems Edelrid Ace Ambassador -super comfortable -roomy gear loops -cool color -light as all get out -holds the nose record -I use this for lightning fast climbs and projecting/hard onsighting -starts to droop a little past a double rack to 4 BD Momentum -jk~ just don't,1
1867,Yeah that was my understanding too~ but I was let down,1
1868,held them side by side with a BD Momentum harness and saw no difference,1
1869,"The 5th loop in the back is nice~ and there's a small ""0kN"" loop for a chalk bag~ but the main loops are plain ol'",1
1870,thanks for the feedback,1
1871,Disapointing cause I love my Solution~  but it's just not roomy enough for trad/multipitch and was hoping the guide would offer a good alternative,1
1872,Looks like they focus more on the material durability than loading capacity,1
1873,Damn~ need to look elsewhere for a multipitch harness then.,1
1874,I think you should hang in a harness before you buy it,1
1875,Hang in several of these recommended harnesses and then make your choice,1
1876,Most climbing shops will be happy to let you try them out.,1
1877,The best harness I have ever had was a Yates,1
1878,I've had a couple of BD they were ok,1
1879,I use a metolius now & have for several years~ I think I'm on my third one now,1
1880,I like it only because it fits me well and it has never hurt me in a fall,1
1881,I like Scott's idea~ go hang in them.,1
1882,Singing Rock Dome harness,1
1883,Comfort ***** Super big gear loops ***** Inexpensive ***** Saw a rigger/camera person from 'Free Solo' wearing one,1
1884,My favorite trad harness in 45 years.,1
1885,My girlfriend just got the Solution guide today...looks badass,1
1886,Material seems bomber~ the gear loops are pretty slick and she said it was quite comfortable,1
1887,Obviously haven’t put it through a “hanging belay” test yet~ but I’ve never been in a harness that made a hanging belay very comfortable anyway,1
1888,I’ve been wearing the previous version~ the chaos~ for years and love it,1
1889,I would only suspect BD made the current iteration even better,1
1890,Im curious about the bd technician,1
1891,It has 5 gear loops~ 4 ice clippers~ adjustable leg loops~ and possibly bigger gear loops than the guide,1
1892,Thinking it may have to be my do everything,1
1893,Also a fan of the Adjama,1
1894,I also have a solution for sport climbing~ but I don't think I've touched it since I picked up the adjama,1
1895,Maybe a couple times for gym sessions but that's about it,1
1896,Now that I think of it~ I am not even sure where it is....somewhere in the garage I guess,1
1897,The adjama is cheap~ flexible~ has a ton of room for gear~ and comfy IMO,1
1898,I also like the slanted gear loop~ although my partner has said they didn't like it,1
1899,Keep my gear in front and ready to grab,1
1900,Edit: the one thing that I don't like about the adjama is the leg loops....they don't go small enough to fit my chicken legs~ and i tend to like non-adjustable leg loops,1
1901,The adjama was a disappointment in the area of leg loops imo,1
1902,When in a hanging belay~ or when belaying someone who may hang dog~ the loops creep into my  crotch more than I'd like,1
1903,Although I do have fairly slender upper legs,1
1904,It's never mentioned in these discussions but my go to for trad racks is my DMM Viper 2,1
1905,5 loops with good room and it has a floating belt for making things even,1
1906,I really like the floating belt,1
1907,It solves another issue the adjama has,1
1908,It's lighter weight than harnesses like the Cadillac but is big enough to comfortable and handle heavy racking,1
1909,The only thing I wish was different is that the 5th gear loop connects low on the belt line whereas others~ like the adjama~ have the 5th loop connected towards the top,1
1910,Minor I reckon,1
1911,The Sama is the same harness without the leg buckles,1
1912,I have one~ like the fit~ don't like it for trad at all,1
1913,The rear gear loops are moronic,1
1914,Arcteryx harnesses are worth every penny.,1
1915,I second this,1
1916,Huge gear loops super comfy and some good covid-19 deals happening right now,1
1917,I currently use an Arc’teryx harness and I was pretty concerned because there was no padding but I’ve owned it for 4 months now and il have to say I’m in love yea it does cost a lot but usually harnesses last a long time unless you’re high-lineing,1
1918,Yea it’s expensive but the comfort and adjustability on the Arc’teryx harness is unreal literally everything is adjustable including the space between the belay leg loop like it’s in real how comfortable this is,1
1919,It’s 25% off at Arc’teryx try it use it don’t like it return it but I highly doubt you will,1
1920,Hands down best all around harness period And it’s a harness that will grow with you,1
1921,For example if you want to get into ice climbing it will do it it’s got all of it built in,1
1922,I’m a one and done kinda guy buy once don’t buy till it’s shot,1
1923,It’s worth it send it bro.,1
1924,I bought a solution guide recently and am really enjoying it fwiw,1
1925,I use the dead bird harness~ AR version,1
1926,Great harness and quite durable~ just get it on sale as some point,1
1927,Someone pointed it out as being trendy~ however I hardly see anyone climbing in them,1
1928,The company started out making harneses and they are great.,1
1929,thanks for the feedback,1
1930,Disapointing cause I love my Solution~  but it's just not roomy enough for trad/multipitch and was hoping the guide would offer a good alternative,1
1931,Looks like they focus more on the material durability than loading capacity,1
1932,Damn~ need to look elsewhere for a multipitch harness then,1
1933,I too liked my Solution and just ordered the Guide,1
1934,It sure looks like the Guide has bigger front loops than the regular Solution...,1
1935,I too liked my Solution and just ordered the Guide,1
1936,It sure looks like the Guide has bigger front loops than the regular Solution..,1
1937,I would agree from the pictures too~ but the feedback receive was that is wasn't the case,1
1938,Any chance I could convince you to post side-by-side pictures with dimensions/reference when you get the Guide?,1
1939,Will do,1
1940,I would agree from the pictures too~ but the feedback receive was that is wasn't the case,1
1941,Any chance I could convince you to post side-by-side pictures with dimensions/reference when you get the Guide?  Also curious,1
1942,I thought they were the same size..,1
1943,unfortunately.,1
1944,I would agree from the pictures too~ but the feedback receive was that is wasn't the case,1
1945,Expensive~ but Arc'Teryx AR395 is a really nice harness with large gear loops and adjustable leg loops,1
1946,Also allows great freedom of movement/feels like not wearing a harness IMO,1
1947,Arc'Teryx harnesses sometimes are sometimes described as uncomfortable for hanging belays~ but I and everyone I've spoken to who owns an Arc harness finds them comfy for hanging belays,1
1948,I use men's size medium AR-395 for ice season (need the adjustable leg loops for my layers and thunder thighs) and a women's large FL-365 (same at AR-395 but w/fixed leg loops),1
1949,Found the BD solution legs to be too confining at my waist size,1
1950,Arc makes the C-Quence harnesses now that I think replace FL-365,1
1951,Supposedly comfier.,1
1952," Just got my Guide and the front loops are 3.5"" inside vs 3"" of space on the rear loops",1
1953,Racks 10 full sized on the front comfortably~ 8 on the back,1
1954,Comfy to hang in for the few minutes I tried it out.,1
1955,I don’t understand what you guys are clipping to your waist when you trad climb,1
1956,Gear man! You?,1
1957,Gear man! You? Usually not much gear,1
1958,If I know exactly what I need~ that will go on my front gear loops~ and maybe a biner of nuts~ but otherwise I put most gear on the shoulder sling,1
1959,Usually I put draws on my front gear loops,1
1960,Nut tool on the left front,1
1961,Water~ shoes~ whatever left rear,1
1962,Spare biners~ belay~ anchor on right rear,1
1963,Shoes or water in the back,1
1964,I need to tell you guys though,1
1965,Today I was on a climb I’ve done several times,1
1966,I had maybe 25’ to the anchor and one #3 to get me there,1
1967,Just so happens that said #3 hanging from gear sling has intertwined itself with a locker on my harness in such a way it was impossible to undo with one hand (two lobes were through the locker),1
1968,So after a minute of switching hands and fiddling (and swearing and such) I down climbed 10 feet or so and had to take on my last piece so I could use two hands to unsnarl my gear,1
1969,Gear slings are awful for anything that isn't mixed climbing.,1
1970,Looking for recommendations on good places to get a resole,1
1971,In the past I went to someone who seemed to use rubber quite different (more aggressive) than what was on my original shoe and I didn’t love it,1
1972,If you could mention what makes your place good it would mean a ton!! Price and time are certainly factors but the QUALITY of the resole matters by far the most to me!,1
1973,Do you mean that the resole changed the shape of the forefoot/toe of your shoe?  The rubber itself~ contrary to what some will say~ won't change the shoe into a more aggressive last,1
1974,The rubber is either softer/grippier~ or slightly harder and will edge a bit better,1
1975,I've had good luck with Yosemite Bum~ but they only offer Evolv rubber- which works fine for me.,1
1976,Onsight Resoles!  Ian does great work!  He's already resoled three pairs for me~ and I have no intention of looking elsewhere!https://www.onsightresoles.com/,1
1977,I wonder if Alf still does mobile resoles,1
1978,Rock and resole in Boulder~ CO have been my go-to resoler's,1
1979,I sent them 2 pairs of shoes(Some TC pros and Mythos) and got both back a week and a half later with shipping,1
1980,Those cobblers know what they're doing,1
1981,And the do it well and quickly!  ​Rock and Resole​​​,1
1982,I've used Peach Cobbler Resole for the last 4 or 5 resoles/rands,1
1983,They do an awesome job with a fast turn around time~ I send two pair to them in Jan and turn around time was 4-5 days.peachcobbleratl.com/ Obviously I've used my shoes a bunch since then~ but you can still tell that they did a wicked good job on the resole/rands,1
